"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes","mean_eff_tax","Federal.Minimum.Wage","Governor.is.Democrat..1.Yes.","Personal.income","Poverty.Rate","state_num","State.Minimum.Wage","Unemployment","year","state_fips","SSI.recipients","Employment"
2008,"AR",2874.554,5.4,18.8,113628,"Arkansas",1,2018,2019,2022,1,1,0,"",NA,5.85,"1",91812.1,15.3,"4",6.25,75.24,2008,5,99.072,1300.017
2008,"AZ",6280.362,5.8,25.1,302277.9,"Arizona",1,2021,2021,2021,1,1,0,"",NA,5.85,"1",223345.8,18,"3",6.9,190.96,2008,4,103.065,2913.903
2008,"CA",36604.337,7.3,29.6,2192331.8,"California",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",1606579.9,14.6,"5",8,1323.641,2008,6,1271.916,16854.482
2008,"CO",4889.73,4.8,35.6,281803.3,"Colorado",1,2019,2020,2020,1,1,0,"",NA,5.85,"1",208738,11,"6",7.02,131.382,2008,8,59.891,2585.243
2008,"CT",3545.579,5.6,35.6,277793.2,"Connecticut",1,2021,2021,2021,1,1,0,"",NA,5.85,"0",216865.3,8.1,"7",7.65,106.773,2008,9,55.376,1774.681
2008,"DE",883.874,4.9,27.5,65771.3,"Delaware",1,2018,2018,2018,1,1,0,"",NA,5.85,"1",35993.2,9.6,"8",7.15,22.127,2008,10,14.797,424.914
2008,"FL",18527.305,6.3,25.8,891766.8,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations",NA,5.85,"0",727138.5,13.1,"10",6.79,578.36,2008,12,444.84,8637.164
2008,"GA",9504.843,6.4,27.5,481860.3,"Georgia",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",334334.5,15.5,"11",5.15,304.243,2008,13,212.803,4575.01
2008,"HI",1332.213,4.1,29.1,76830.2,"Hawaii",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",56059.9,9.9,"12",7.25,27.571,2008,15,23.61,612.12
2008,"IA",3016.734,4.2,24.3,160469.1,"Iowa",1,2019,2019,2019,1,1,0,"",NA,5.85,"1",116255.8,9.5,"16",7.25,70.598,2008,19,45.434,1608.695
